Recebimentos;;;;;;;;;
Tipo;FormaPagamento;Pagamento;Crédito;Valor;ValorLiquido;Pedido;Colaborador;Id Caixa;Unidade
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 20:41:27;01/06/2022;R$ 15,00;R$ 14,74;150975;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 20:11:34;01/06/2022;R$ 35,50;R$ 34,90;150974;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Fiado;Pagamento Instantâneo (PIX);31/05/2022 20:08:18;31/05/2022;R$ 114,75;R$ 114,75;;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 19:55:38;15/06/2022;R$ 35,99;R$ 31,67;150973;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 19:52:55;15/06/2022;R$ 66,00;R$ 58,08;150962;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 19:48:58;15/06/2022;R$ 53,99;R$ 47,51;150972;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 19:47:24;31/05/2022;R$ 52,99;R$ 52,99;150971;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 19:45:46;01/06/2022;R$ 28,00;R$ 27,52;150918;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 19:42:23;15/06/2022;R$ 28,99;R$ 25,51;150970;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 19:41:29;15/06/2022;R$ 48,99;R$ 43,11;150969;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 19:39:59;15/06/2022;R$ 59,99;R$ 52,79;150968;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 19:38:18;01/06/2022;R$ 51,99;R$ 51,11;150967;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 19:36:48;31/05/2022;R$ 63,99;R$ 63,99;150966;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 19:35:41;15/06/2022;R$ 28,99;R$ 25,51;150965;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 19:34:12;31/05/2022;R$ 26,99;R$ 26,99;150964;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Crédito Visa;31/05/2022 19:32:17;01/06/2022;R$ 20,50;R$ 20,04;150963;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 19:30:20;15/06/2022;R$ 55,49;R$ 48,83;150961;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 19:28:52;15/06/2022;R$ 23,99;R$ 21,11;150960;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 19:28:14;15/06/2022;R$ 30,99;R$ 27,27;150959;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 19:25:39;15/06/2022;R$ 69,99;R$ 61,59;150958;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 19:24:02;15/06/2022;R$ 26,99;R$ 23,75;150957;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood - Incentivo Outros;31/05/2022 19:23:54;31/05/2022;R$ 10,00;R$ 10,00;150957;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood Online Outros;31/05/2022 19:22:22;15/06/2022;R$ 12,99;R$ 11,43;150956;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;iFood - Incentivo Outros;31/05/2022 19:22:18;31/05/2022;R$ 15,00;R$ 15,00;150956;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 19:20:03;01/06/2022;R$ 35,99;R$ 35,38;150874;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 19:03:09;01/06/2022;R$ 28,00;R$ 27,52;150955;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 18:38:46;01/06/2022;R$ 38,50;R$ 37,85;150954;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Elo;31/05/2022 18:36:22;31/05/2022;R$ 15,50;R$ 15,13;150953;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Crédito Mastercard;31/05/2022 18:32:18;01/06/2022;R$ 31,00;R$ 30,31;150952;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Visa;31/05/2022 18:29:05;01/06/2022;R$ 49,00;R$ 48,17;150935;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 18:27:40;01/06/2022;R$ 11,55;R$ 11,35;150951;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Vale Refeição Outros;31/05/2022 18:27:04;01/06/2022;R$ 4,95;R$ 4,80;150951;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 18:26:07;01/06/2022;R$ 89,50;R$ 87,99;150932;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Crédito Mastercard;31/05/2022 18:24:32;01/06/2022;R$ 18,00;R$ 17,60;150928;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Crédito Mastercard;31/05/2022 18:24:02;01/06/2022;R$ 10,00;R$ 9,77;150922;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 18:23:06;01/06/2022;R$ 34,00;R$ 33,42;150930;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Pagamento Instantâneo (PIX) Outros;31/05/2022 18:21:51;31/05/2022;R$ 7,00;R$ 7,00;150854;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Crédito Mastercard;31/05/2022 18:17:48;01/06/2022;R$ 10,00;R$ 9,77;150859;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Vale Refeição Outros;31/05/2022 18:17:00;01/06/2022;R$ 47,00;R$ 45,59;150870;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 18:15:03;31/05/2022;R$ 15,00;R$ 15,00;150950;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 18:13:19;31/05/2022;R$ 15,50;R$ 15,50;150949;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 18:10:26;31/05/2022;R$ 10,00;R$ 10,00;150948;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 18:08:36;01/06/2022;R$ 20,00;R$ 19,66;150947;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Crédito Mastercard;31/05/2022 18:06:44;01/06/2022;R$ 16,50;R$ 16,13;150946;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Visa;31/05/2022 18:05:43;01/06/2022;R$ 16,50;R$ 16,22;150945;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 18:03:58;01/06/2022;R$ 6,50;R$ 6,39;150944;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Vale Refeição Outros;31/05/2022 18:00:42;01/06/2022;R$ 53,00;R$ 51,41;150943;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 17:50:58;01/06/2022;R$ 19,50;R$ 19,17;150941;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Dinheiro;31/05/2022 17:49:54;31/05/2022;R$ 18,00;R$ 18,00;150940;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Crédito Visa;31/05/2022 17:48:09;01/06/2022;R$ 8,00;R$ 7,82;150939;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 17:47:20;01/06/2022;R$ 42,00;R$ 41,29;150938;1-Gleica;1815;Inverno D´Italia Bragança Paulista
Recebimento - Vendas;Cartão de Débito Mastercard;31/05/2022 17:45:55;01/06/2022;R$ 38,50;R$ 37,85;150937;1-Gleica;1815;Inverno D´Italia Bragança Paulista
