Contas a Pagar;;;;;;;;;
Catagoria;Descrição;Vencimento;Pagamento;Valor;Valor Pago;Status;Parcela;Fornecedor;Unidade
01.19-Laticínios;PMG;31/05/2022;31/05/2022;R$ 1.917,53;R$ 1.917,53;Pago;1/1;01.15.19 - PMG- Pama comercio de alimentos;Inverno D´Italia Bragança Paulista
01.16-Doces;REAL BOLOS;31/05/2022;31/05/2022;R$ 66,00;R$ 66,00;Pago;1/1;01.16.06-Bolo de Pote;Inverno D´Italia Bragança Paulista
01.20-Salgados;ALTEROSA;31/05/2022;31/05/2022;R$ 82,90;R$ 82,90;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.21-FRANQUIA-Pedido semanal;FRANQUIA;31/05/2022;31/05/2022;R$ 1.128,30;R$ 1.128,30;Pago;1/1;01.21.01 -Franquia Inverno Ditalia;Inverno D´Italia Bragança Paulista
02.10-Vale Refeição;RESTAURANTE CASARAO;31/05/2022;31/05/2022;R$ 1.194,54;R$ 1.194,54;Pago;1/1;02.10.01 - Restaurante Casarão;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1815. FREE;31/05/2022;31/05/2022;R$ 192,00;R$ 192,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1815. V.T;31/05/2022;31/05/2022;R$ 50,00;R$ 50,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1815. ANTONIO;31/05/2022;31/05/2022;R$ 115,00;R$ 115,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1815. LUCAS;31/05/2022;31/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.20-Salgados;Saída do caixa 1815. PÃO;31/05/2022;31/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1815. RODRIGO;31/05/2022;31/05/2022;R$ 100,00;R$ 100,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.15-Mercado;Saída do caixa 1815. JOEL AGUA;31/05/2022;31/05/2022;R$ 12,00;R$ 12,00;Pago;1/1;;Inverno D´Italia Bragança Paulista
01.20-Salgados;Saída do caixa 1815. PÃO;31/05/2022;31/05/2022;R$ 5,00;R$ 5,00;Pago;1/1;;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1815. FREE ADRIANE 30/05;31/05/2022;31/05/2022;R$ 48,00;R$ 48,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
01.07-Manutenção Geral;ELETRICA CASTRO;31/05/2022;02/06/2022;R$ 90,00;R$ 90,00;Pago;1/1;01.07-01-MATERIAIS EM GERAL;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1814. FREE;30/05/2022;30/05/2022;R$ 96,00;R$ 96,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1814. V.T;30/05/2022;30/05/2022;R$ 70,00;R$ 70,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1814. ANTONIO;30/05/2022;30/05/2022;R$ 152,00;R$ 152,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1814. LUCAS;30/05/2022;30/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1814. RODRIGO;30/05/2022;30/05/2022;R$ 92,00;R$ 92,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.13-Embalagens;PONTO CERTO;30/05/2022;31/05/2022;R$ 79,80;R$ 79,80;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.20-Salgados;ALTEROSA;30/05/2022;31/05/2022;R$ 117,90;R$ 117,90;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.16-Doces;REAL BOLOS;30/05/2022;31/05/2022;R$ 145,00;R$ 145,00;Pago;1/1;01.16.07-Real Bolos;Inverno D´Italia Bragança Paulista
01.17-Hortifruti;VAREJAO;30/05/2022;31/05/2022;R$ 45,00;R$ 45,00;Pago;1/1;01.17.01-Varejão;Inverno D´Italia Bragança Paulista
01.13-Embalagens;PONTO CERTO;30/05/2022;31/05/2022;R$ 78,20;R$ 78,20;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.15-Mercado;SPANI;30/05/2022;31/05/2022;R$ 189,44;R$ 189,44;Pago;1/1;01.15.06-SPANI;Inverno D´Italia Bragança Paulista
01.15-Mercado;COMERCIAL ESPERANCA;30/05/2022;31/05/2022;R$ 704,05;R$ 704,05;Pago;1/1;01.15.09-Comercial Esperança;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1813. DRII, JUH, AMANDA E FEH;29/05/2022;29/05/2022;R$ 50,00;R$ 50,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.06-Freelance-Temporario;Saída do caixa 1813. drii e juh;29/05/2022;29/05/2022;R$ 96,00;R$ 96,00;Pago;1/1;01.06.01-Colaboradora Freelance;Inverno D´Italia Bragança Paulista
02.05-Horas Extras;Saída do caixa 1813. juuh e drii;29/05/2022;29/05/2022;R$ 42,00;R$ 42,00;Pago;1/1;02.05.01 - Hora Extra colaboradores;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1813. EDUARDO;29/05/2022;29/05/2022;R$ 15,00;R$ 15,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.17-Hortifruti;VAREJAO;29/05/2022;31/05/2022;R$ 80,00;R$ 80,00;Pago;1/1;01.17.01-Varejão;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1812. MANUEL 21;28/05/2022;28/05/2022;R$ 127,00;R$ 127,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.14-Gráfica;Saída do caixa 1812. PAPELARIA;28/05/2022;28/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;01.14.01-GRAFICA OUTROS;Inverno D´Italia Bragança Paulista
01.06-Freelance-Temporario;Saída do caixa 1812. JUH- EMILY- DRII- AMANDA;28/05/2022;28/05/2022;R$ 216,00;R$ 216,00;Pago;1/1;01.06.01-Colaboradora Freelance;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1812. DRII- EMILY- JULIA- FE- LE- AMANDA;28/05/2022;28/05/2022;R$ 60,00;R$ 60,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.20-Salgados;ALTEROSA;28/05/2022;31/05/2022;R$ 165,80;R$ 165,80;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.13-Embalagens;PONTO CERTO;28/05/2022;31/05/2022;R$ 232,90;R$ 232,90;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.20-Salgados;ALTEROSA;28/05/2022;31/05/2022;R$ 44,00;R$ 44,00;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.15-Mercado;COMERCIAL ESPERANÇA;28/05/2022;31/05/2022;R$ 337,53;R$ 337,53;Pago;1/1;01.15.09-Comercial Esperança;Inverno D´Italia Bragança Paulista
01.13-Embalagens;MULTI CAIXAS;28/05/2022;31/05/2022;R$ 295,00;R$ 295,00;Pago;1/1;01.13.05-MULTICAIXAS ATBAIA EMBALAGENS;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1811. LUCAS;27/05/2022;27/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1811. MANOEL;27/05/2022;27/05/2022;R$ 84,00;R$ 84,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
